,metric,url,text
0,vehicle_stops,https://nyc.gov/assets/nypd/downloads/excel/analysis_and_planning/vehcile-encounter-reports/vehicle-report-tables-oct1-dec31.xlsx,Vehicle Reports Fourth Quarter 2022
1,vehicle_stops,https://nyc.gov/assets/nypd/downloads/excel/analysis_and_planning/vehcile-encounter-reports/vehicle-report-tables-july1-sept30.xlsx,Vehicle Reports Third Quarter 2022
2,vehicle_stops,https://nyc.gov/assets/nypd/downloads/excel/analysis_and_planning/vehcile-encounter-reports/vehicle-report-tables-april1-june30.xlsx,Vehicle Reports Second Quarter 2022
3,vehicle_stops,https://nyc.gov/assets/nypd/downloads/excel/analysis_and_planning/vehcile-encounter-reports/vehicle-report-tables-jan1-mar31.xlsx,Vehicle Reports First Quarter 2022
